# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
22 27.7128129211 1.4565299999999999e-03
24 27.7128129211 1.2814500000000000e-03
26 27.7128129211 1.0955400000000001e-03
28 27.7128129211 9.2090000000000000e-04
30 27.7128129211 7.3994999999999996e-04
32 27.7128129211 5.9206999999999999e-04
34 27.7128129211 4.6181000000000000e-04
36 27.7128129211 3.5848999999999999e-04
38 27.7128129211 2.8247000000000000e-04
40 27.7128129211 2.1741999999999999e-04
42 27.7128129211 1.8042000000000001e-04
44 27.7128129211 1.6243000000000000e-04
46 27.7128129211 1.6074000000000001e-04
48 27.7128129211 1.8055000000000000e-04
50 27.7128129211 2.1864000000000001e-04
52 27.7128129211 2.7584000000000002e-04
54 27.7128129211 3.5626000000000001e-04
56 27.7128129211 4.6296000000000000e-04
58 27.7128129211 5.8870000000000005e-04
60 27.7128129211 7.4253999999999998e-04
62 27.7128129211 9.1609999999999999e-04
64 27.7128129211 1.1041600000000001e-03
66 27.7128129211 1.2830700000000001e-03
68 27.7128129211 1.4578200000000001e-03
70 27.7128129211 1.6040500000000001e-03
72 27.7128129211 1.7055300000000000e-03
74 27.7128129211 1.7581999999999999e-03

17 29.4448637287 1.7022000000000001e-03
19 29.4448637287 1.6242699999999999e-03
21 29.4448637287 1.5145600000000001e-03
23 29.4448637287 1.3561599999999999e-03
25 29.4448637287 1.1847699999999999e-03
27 29.4448637287 1.0116100000000000e-03
29 29.4448637287 8.4572000000000000e-04
31 29.4448637287 6.7790000000000005e-04
33 29.4448637287 5.4058999999999997e-04
35 29.4448637287 4.2780999999999998e-04
37 29.4448637287 3.3618999999999999e-04
39 29.4448637287 2.6352000000000000e-04
41 29.4448637287 2.1704000000000000e-04
43 29.4448637287 1.8729000000000000e-04
45 29.4448637287 1.7961000000000000e-04
47 29.4448637287 1.8623000000000001e-04
49 29.4448637287 2.1607000000000001e-04
51 29.4448637287 2.6532999999999998e-04
53 29.4448637287 3.3546999999999998e-04
55 29.4448637287 4.2996000000000001e-04
57 29.4448637287 5.4038000000000003e-04
59 29.4448637287 6.8062999999999999e-04
61 29.4448637287 8.3299999999999997e-04
63 29.4448637287 1.0047999999999999e-03
65 29.4448637287 1.1815500000000000e-03
67 29.4448637287 1.3561199999999999e-03
69 29.4448637287 1.5063699999999999e-03
71 29.4448637287 1.6292600000000000e-03
73 29.4448637287 1.7019400000000001e-03
75 29.4448637287 1.7326600000000000e-03

18 31.1769145362 1.6228799999999999e-03
20 31.1769145362 1.5207300000000001e-03
